2012,2013,2014,2015,institution
,,813,884,University of Massachusetts Lowell
,,814,808,Jaume I University
,,815,774,Chongqing University
,,816,749,Beijing Institute of Technology
,,817,885,Manchester Metropolitan University
,,818,795,Zhengzhou University
,,819,843,Dublin City University
,,820,853,"National University of Ireland, Maynooth"
,,821,812,Kangwon National University
,,822,874,"Royal Veterinary College, University of London"
,,823,833,Wright State University - Dayton
,,824,788,Capital Medical University
,,825,824,University of Brighton
,,826,845,Sofia University
,,827,836,University of Regina
,,828,802,Magna Græcia University of Catanzaro
,,829,806,Chungbuk National University
,,830,838,Kōchi University
,,831,870,University of New Brunswick
,,832,868,Sejong University
,,833,697,Sharif University of Technology
,,834,756,Chung-Ang University
,,835,893,"Queens College, City University of New York"
,,836,829,Murdoch University
,,837,878,Chosun University
,,838,791,Vilnius University
,,839,820,University of Maribor
,,840,926,Ritsumeikan University
,,841,817,University of Sassari
,,842,864,Nanjing Normal University
,,843,816,University of Franche-Comté
,,844,929,University of Texas at El Paso
,,845,826,Rio de Janeiro State University
,,846,955,Jinan University
,,847,825,University of Massachusetts Boston
,,848,849,University of Alcalá
,,849,854,Tehran University of Medical Sciences
,,850,855,University of the Ryukyus
,,851,859,University of Angers
,,852,915,Fluminense Federal University
,,853,823,Florida Institute of Technology
,,854,910,Trent University
,,855,865,National Chung Cheng University
,,856,842,Bilkent University
,,857,932,National Taiwan Normal University
,,858,909,Saitama University
,,859,873,RMIT University
,,860,863,Hamamatsu University School of Medicine
,,861,785,University of Greifswald
,,862,892,University of Pécs
,,863,900,University of Fukui
,,864,906,Oakland University
,,865,810,Nanjing University of Technology
,,866,815,"University of Technology, Sydney"
,,867,897,University of North Carolina at Greensboro
,,868,851,"All India Institute of Medical Sciences, New Delhi"
,,869,887,Kyoto Institute of Technology
,,870,846,Ocean University of China
,,871,818,Chiang Mai University
,,872,919,University of Camerino
,,873,945,Hirosaki University
,,874,913,University of North Dakota
,,875,872,University of Extremadura
,,876,908,Teikyo University
,,877,828,Jiangnan University
,,878,890,Adam Mickiewicz University in Poznań
,,879,937,University of Waikato
,,880,848,University of Veterinary Medicine Vienna
,,881,930,University of Cádiz
